case,label,adapt_iteration,energy_hartree,absolute_error_hartree,parameter_count,cnot_count,cnot_depth,total_depth,elapsed_seconds
h6-1.5,Linear H6 at 1.5 A,24,-2.993218201073777,0.0023472247581652894,124,810,281,1461,2186.4220948750153
h6-1.5,Linear H6 at 1.5 A,25,-2.9934768710411985,0.0020885547907436575,131,840,293,1523,2406.232676708023
h6-1.5,Linear H6 at 1.5 A,26,-2.994173530324659,0.0013918955072833583,137,879,306,1595,2748.767717916984
h6-3.0,Linear H6 at 3 A,1,-2.1963616487218784,0.6045972509325637,3,27,7,39,72.68410024995683
h6-3.0,Linear H6 at 3 A,2,-2.4033840264650426,0.39757487318939955,5,45,14,65,80.07980304199737
h6-3.0,Linear H6 at 3 A,3,-2.471537255558848,0.32942164409559416,7,63,21,91,87.78402912494494
h6-3.0,Linear H6 at 3 A,4,-2.687876265354631,0.11308263429981125,9,81,28,117,100.98844799998915
h6-3.0,Linear H6 at 3 A,5,-2.726505446047859,0.07445345360658306,11,99,35,143,108.78143020899734
h6-3.0,Linear H6 at 3 A,6,-2.7402305697662532,0.06072832988818888,14,126,42,182,117.86114391696174
h6-3.0,Linear H6 at 3 A,7,-2.7653913840581597,0.03556751559628246,16,144,49,208,128.29984079196583
h6-3.0,Linear H6 at 3 A,8,-2.7664826398296163,0.03447625982482583,21,161,56,249,142.61843574995873
h6-3.0,Linear H6 at 3 A,9,-2.7681036476164733,0.032855252037968796,26,178,58,290,170.7637168749934
h6-3.0,Linear H6 at 3 A,10,-2.7780315961682875,0.02292730348615457,31,195,65,331,212.14914529194357
h6-3.0,Linear H6 at 3 A,11,-2.780143020260312,0.02081587939413021,38,225,78,393,244.24655574996723
h6-3.0,Linear H6 at 3 A,12,-2.7837602793398233,0.01719862031461883,45,255,90,455,318.23470066697337
h6-3.0,Linear H6 at 3 A,13,-2.791548924166391,0.009409975488051003,52,285,103,517,416.7997105839895
h6-3.0,Linear H6 at 3 A,14,-2.792302325567058,0.008656574087384072,60,324,116,589,487.5694261669996
h6-3.0,Linear H6 at 3 A,15,-2.7931246173057738,0.007834282348668342,68,363,129,661,574.5489326669485
h6-3.0,Linear H6 at 3 A,16,-2.7945092843566166,0.006449615297825506,74,384,141,713,706.7884348339867
h6-3.0,Linear H6 at 3 A,17,-2.794997489487921,0.005961410166521297,80,423,154,785,829.4218276249594
h6-3.0,Linear H6 at 3 A,18,-2.7953630146291415,0.005595885025300618,88,462,167,857,989.8981968750013
h6-3.0,Linear H6 at 3 A,19,-2.79563535453696,0.005323545117482009,94,492,179,919,1151.4044305419666
h6-3.0,Linear H6 at 3 A,20,-2.7965521777373494,0.004406721917092682,101,522,192,981,1374.1758066669572
h6-3.0,Linear H6 at 3 A,21,-2.797544234626611,0.0034146650278312762,107,561,205,1053,1587.1408949169563
h6-3.0,Linear H6 at 3 A,22,-2.7984972411458613,0.002461658508580822,113,600,217,1125,1841.636369166954
h6-3.0,Linear H6 at 3 A,23,-2.7987687887221346,0.0021901109323074763,119,621,230,1177,2044.70697733399
h6-3.0,Linear H6 at 3 A,24,-2.7988531784026596,0.002105721251782544,125,660,243,1249,2286.2165800419752
h6-3.0,Linear H6 at 3 A,25,-2.798891175423243,0.002067724231199275,129,686,256,1297,2546.840337499976
h6-3.0,Linear H6 at 3 A,26,-2.7989757608064445,0.001983138847997612,135,725,269,1369,2822.203880166984
h6-3.0,Linear H6 at 3 A,27,-2.799302652356607,0.0016562472978352005,143,764,282,1441,3287.994506374991
h6-3.0,Linear H6 at 3 A,28,-2.7994516590123237,0.0015072406421183793,149,785,294,1493,3636.400072374963
beh2-3.0,BeH2 at 3 A,1,-15.202093156506063,0.1347110795589046,3,27,7,39,501.04246979096206
beh2-3.0,BeH2 at 3 A,2,-15.272404172254506,0.06440006381046182,6,54,14,78,872.801224750001
beh2-3.0,BeH2 at 3 A,3,-15.288915702372597,0.04788853369237067,9,81,21,117,1137.1922349999659
beh2-3.0,BeH2 at 3 A,4,-15.30526989568923,0.0315343403757371,14,98,28,158,1468.247370957979
beh2-3.0,BeH2 at 3 A,5,-15.307670035256896,0.029134200808071498,17,125,35,197,1737.2391263329773
beh2-3.0,BeH2 at 3 A,6,-15.316299755646728,0.020504480418239268,22,160,48,258,2135.739388874965
beh2-3.0,BeH2 at 3 A,7,-15.319485240706781,0.017318995358186484,26,191,61,308,3080.853394582984
beh2-3.0,BeH2 at 3 A,8,-15.333048358979624,0.0037558770853429735,30,222,68,358,4408.849494165974
beh2-3.0,BeH2 at 3 A,9,-15.334169839223442,0.0026343968415254437,34,253,81,408,5150.991196290997
beh2-3.0,BeH2 at 3 A,10,-15.335468001671352,0.0013362343936158538,38,284,94,458,5957.183832333016
